Omega Gfx - 5 Samyc;5 Samyc - Omega Gfx
Jan Aberg;Aberg, Jan
K. Afendikov - V. Rubcov;Afendikov, K. - Rubcov, V.
F. Ainley;Ainley, F.
Alien - The New Dimension;Alien - New Dimension, The
Nikola Alivojvodic;Alivojdovic, Nikola
Nikola, Alivojvodic;Alivojdovic, Nikola
Simon Allan;Allan, Simon
alone Coder;Alone Coder
Stalker - Alone Coder;Alone Coder - Stalker
Mac - Amst;Amst - Mac
MB - APG;APG - MB
Chris Armitage;Armitage, Chris
Toni Arnold;Arnold, Toni
Assassin, Time;Assassin Time
Ate Bit;ate Bit
ate bit;ate Bit
Kiselev V.S. - Averbuh I.V.;Averbuh, I.V. - Kiselev, V.S.
Ayland;AYLand
Factor6 - AY-Riders;AY-Riders - Factor6
Baldomero Garcia;Baldomero, Garcia
Jorge Perez Barreiro;Barreiro, Jorge Perez
Michael Bayer;Bayer, Michael
Alexandr Belan;Belan, Alexandr
Software, Bellend;Bellend
Antonio Bermudez;Bermudez, Antonio
J.A. Bertran;Bertran, J. A.
nik-o - bfox;bfox - nik-o
Black Cat - Buddy - wbr - Denis Grachev;Black Cat - Buddy - Grachev, Denis - wbr
Bodrov V.;Bodrov, V.
Vadim Bodrov;Bodrov, Vadim
Bogdanov V.G.;Bogdanov, V.G.
Sergey, Borozdin;Borozdin, Sergey
P. Boulton;Boulton, P.
br0mba;Br0mba
brutal Creators;Brutal Creators
Tony Bryan;Bryan, Tony
Jesse Burneko;Burneko, Jesse
Equinox - Busy;Busy - Equinox
M-Beaton - Busy - Fuxoft;Busy - Fuxoft - M-Beaton
John Byrd;Byrd, John
C&VG (Gamebook);C&VG
Adam Cadre;Cadre, Adam
Productions, Cagarro;Cagarro Productions
Irene Callaci;Callaci, Irene
Jeff Cassidy - Christopher E. Forman;Cassidy, Jeff - Forman, Christopher E.
cassiopeia;Cassiopeia
castor Cracking Group;Castor Cracking Group
catmeouws;Catmeows
Jonathan Cauldwell;Cauldwell, Jonathan
LOSW - Centronix;Centronix - LOSW
Zarko Cerovecki;Cerovecki, Zarko
The Chart Team;Chart Team, The
Rybread Celsius - Cody Sandifer;Cody Sandifer - Rybread Celsius
compiuter;Compiuter
Computer Partnership , The;Computer Partnership, The
Computer Work Company;Computer Work
Conver-Utility;CONVER-Utility - LOGPROS
Pete Cook;Cook, Pete
Pete Cooke;Cooke, Pete
David A. Cornelson;Cornelson, David A.
Carlos Correia;Correia, Carlos
Robbie Coull;Coull, Robbie
Design Design - Crash;Crash - Design Design
Digital Integration - Crash;Crash - Digital Integration
Elite Systems - Crash;Crash - Elite Systems
Empire - Crash;Crash - Empire
