10 Pack - Skate Crazy + Super Scramble Simulator (1991)(Gremlin Graphics);11444
They Sold a Million III - Fighter Pilot (1986)(Ocean);11373
Oink! - Piggy Tales (1987)(CRL Group);3496
Hight Frontier (1987)(Activision);2313
T Wrecks (1988)(Gremlin Graphics);3323
Airport '82 - Intro (1982)(JRS);123
HiSoft Pascal v1.13 (1985)(HiSoft);8255
Gift from the Gods (1986)(1984);2041
Car Wars (2016)(salvaKantero);30298
Buggy Boy - Offroad Track (1988)(Elite Systems);746
Dice (2002)(Naffsoft);18677
Secret of Little Hodcomb, The (1984)(Zenobi);6949
Jet Set Willy - Monstrum! (2000)(Stuart J. Hill);10549
Horizons - Intro (1982)(Sinclair Research);9230
Trivial Pursuit - Genus (1986)(Erbe);5423
Star Games One - Rescue on Fractalus! (1987)(Gremlin Graphics Sofware);12116
Cheekah's Exploits - Editor (1985)(Your Computer);910
Academy - Tau Ceti II - Mission The Sands of Time (1987)(CRL Group);5156
Conflict Command - Army Moves + The Great Escape (1988)(Ocean);11237
Game, Set and Match - GBA Championship Basketball + Super Soccer + World Series Baseball (1987)(Ocean);11731
Power Pack, The - BMX Kidz + Imagination (1990)(Paxman Promotions);12502
East Front - Tactical Warfare Russia 1941-1945 (1984)(CCS);1570
Confrontation - Angola (1983)(MC Lothlorien);1043
Challengers - Fighter Bomber (1991)(Ubi Soft);11570
Rifle Range - Intro (1984)(Mastertronic);4146
Last Hero of the Light Force (1995)(1996);12920
Your Sinclair - Issue 76 - The Magnificent Seven 13 - Practical Pokes (1992)(Your Sinclair);13807
6-Pak Vol 3 - Dragon's Lair (1988)(MCM);11198
Mega Mix - Operation Wolf (1990)(Ocean);11304
4-Most Megaheros - Dandy + Freddy Hardest (1991)(Alternative);11187
Challengers - Kick Off + Pro Tennis Tour (1991)(Ubi Soft);11570
Dizzy VII - Crystal Kingdom Dizzy (2017)(Codemasters);30381
Tantalus (1986)(Quicksilva);5139
Sentinel - Easy (1984)(Abacus Programs);4399
4 Soccer Simulators - 11-a-Side Soccer (1989)(MCM);9299
Little Computer People (1986)(Activision);2897
