Wrong release chosen:
tosec_path;zxdb_path;wos_id;ZXDB TOSEC-compliant name
Sinclair ZX Spectrum\Games\[TZX]\1942 Mission (1985)(Tartan Software).zip;;0005898;1942 Mission (1985)(Tartan Software).tzx
Sinclair ZX Spectrum\Games\[Z80]\1942 Mission (1985)(Tartan Software).zip;;0005898;1942 Mission (1985)(Tartan Software).z80
Sinclair ZX Spectrum\Games\[Z80]\1942 Mission (1985)(Tartan Software)[a2].zip;;0005898;1942 Mission (1985)(Tartan Software).z80
Sinclair ZX Spectrum\Games\[Z80]\1942 Mission (1985)(Tartan Software)[a].zip;;0005898;1942 Mission (1985)(Tartan Software).z80
Sinclair ZX Spectrum\Games\[TZX]\3DC (1987)(Encore).zip;;0000033;3DC (1991)(Encore).tzx
Sinclair ZX Spectrum\Games\[Z80]\3DC (1987)(Encore).zip;;0000033;3DC (1991)(Encore).z80
Sinclair ZX Spectrum\Games\[TZX]\3DC (1987)(Encore)[a2].zip;;0000033;3DC (1991)(Encore).tzx
Sinclair ZX Spectrum\Games\[Z80]\3DC (1987)(Encore)[a2].zip;;0000033;3DC (1991)(Encore).z80
Sinclair ZX Spectrum\Games\[TZX]\3DC (1987)(Encore)[a].zip;;0000033;3DC (1991)(Encore).tzx
Sinclair ZX Spectrum\Games\[Z80]\3DC (1987)(Encore)[a].zip;;0000033;3DC (1991)(Encore).z80
Sinclair ZX Spectrum\Games\[SCL]\3DC (1987)(Encore)[h Andrey Slabosnickiy].zip;;0000033;3DC (1991)(Encore)[h Andrey Slabosnickiy][h Andrey Slabosnickiy].scl
Sinclair ZX Spectrum\Applications\[TZX]\64 Zeichen (1986)(ZX Computing)(de).zip;;0007881;When I'm 64 (1986)(ZX Computing)(de).tzx
Sinclair ZX Spectrum\Applications\[Z80]\64 Zeichen (1986)(ZX Computing)(de).zip;;0007881;When I'm 64 (1986)(ZX Computing)(de).z80
Sinclair ZX Spectrum\Games\[TZX]\911 TS (1985)(Elite Systems).zip;/pub/sinclair/games/123/911TS.tzx.zip;0000044;911 TS (1985)(Elite Systems).tzx
Sinclair ZX Spectrum\Games\[Z80]\911 TS (1985)(Elite Systems).zip;;0000044;911 TS (1985)(Elite Systems).z80
Sinclair ZX Spectrum\Games\[Z80]\911 TS (1985)(Elite Systems)[a2].zip;;0000044;911 TS (1985)(Elite Systems).z80
Sinclair ZX Spectrum\Games\[Z80]\911 TS (1985)(Elite Systems)[a3].zip;;0000044;911 TS (1985)(Elite Systems).z80
Sinclair ZX Spectrum\Games\[Z80]\911 TS (1985)(Elite Systems)[a].zip;;0000044;911 TS (1985)(Elite Systems).z80
Sinclair ZX Spectrum\Games\[SCL]\911 TS (1985)(Elite Systems)[h].zip;;0000044;911 TS (1985)(Elite Systems)[h][h].scl
