TOSEC path;WoS FTP path;Original TOSEC game name;ZXDB-based TOSEC game name;ZXDB ID;ZXDB release ID;WoS URL
tosec\Games\[TAP]\007 - Licence to Kill (1989)(Domark)[128K].zip;/pub/sinclair/games/l/LicenceToKill128.tap.zip;007 - Licence to Kill (1989)(Domark);Licence to Kill (1989)(Domark);0000001;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000001
tosec\Games\[TAP]\007 - Licence to Kill (1989)(Domark).zip;/pub/sinclair/games/l/LicenceToKill48.tap.zip;007 - Licence to Kill (1989)(Domark);Licence to Kill (1989)(Domark);0000001;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000001
tosec\Games\[TZX]\007 - Licence to Kill (1989)(Domark)[128K].zip;/pub/sinclair/games/l/LicenceToKill.tzx.zip;007 - Licence to Kill (1989)(Domark);Licence to Kill (1989)(Domark);0000001;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000001
tosec\Games\[TZX]\007 - Licence to Kill (1989)(Domark).zip;/pub/sinclair/games/l/LicenceToKill.tzx.zip;007 - Licence to Kill (1989)(Domark);Licence to Kill (1989)(Domark);0000001;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000001
tosec\Games\[TZX]\007 - Licence to Kill (1989)(The Hit Squad)[128K][re-release].zip;/pub/sinclair/games/l/LicenceToKill(TheHitSquad).tzx.zip;007 - Licence to Kill (1989)(The Hit Squad);Licence to Kill (1991)(The Hit Squad);0000001;3;http://www.worldofspectrum.org/infoseekid.cgi?id=0000001
tosec\Games\[TZX]\007 - Licence to Kill (1989)(The Hit Squad)[re-release].zip;/pub/sinclair/games/l/LicenceToKill(TheHitSquad).tzx.zip;007 - Licence to Kill (1989)(The Hit Squad);Licence to Kill (1991)(The Hit Squad);0000001;3;http://www.worldofspectrum.org/infoseekid.cgi?id=0000001
tosec\Games\[DSK]\007 - Live and Let Die (1988)(Domark).zip;/pub/sinclair/games/l/LiveAndLetDie.dsk.zip;007 - Live and Let Die (1988)(Domark);Live and Let Die (1988)(Domark);0000004;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000004
tosec\Games\[TZX]\007 - Live and Let Die (1988)(Encore)[re-release].zip;/pub/sinclair/games/l/LiveAndLetDie(Encore).tzx.zip;007 - Live and Let Die (1988)(Encore);Live and Let Die (1990)(Encore);0000004;2;http://www.worldofspectrum.org/infoseekid.cgi?id=0000004
tosec\Games\[TAP]\007 - The Living Daylights (1987)(Domark)[a].zip;/pub/sinclair/games/l/LivingDaylights-TheComputerGameThe.tap.zip;007 - The Living Daylights (1987)(Domark);Living Daylights - The Computer Game, The (1987)(Domark);0000006;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000006
tosec\Games\[TZX]\007 - The Living Daylights (1987)(Domark)[a].zip;/pub/sinclair/games/l/LivingDaylights-TheComputerGameThe.tzx.zip;007 - The Living Daylights (1987)(Domark);Living Daylights - The Computer Game, The (1987)(Domark);0000006;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000006
tosec\Games\[TZX]\Alta Tension (1987)(Erbe Software)[aka 007 - The Living Daylights].zip;/pub/sinclair/games/l/LivingDaylights-TheComputerGameThe(AltaTension)(ErbeSoftwareS.A.).tzx.zip;Alta Tension (1987)(Erbe Software);Living Daylights - The Computer Game, The (1987)(Erbe Software);0000006;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0000006
tosec\Games\[TZX]\Alta Tension (1987)(Erbe Software)[a][aka 007 - The Living Daylights].zip;/pub/sinclair/games/l/LivingDaylights-TheComputerGameThe(AltaTension)(IBSA).tzx.zip;Alta Tension (1987)(Erbe Software);Living Daylights - The Computer Game, The (1987)(IBSA);0000006;2;http://www.worldofspectrum.org/infoseekid.cgi?id=0000006
tosec\Games\[TZX]\007 - The Spy Who Loved Me (1990)(Domark)(Side A)[48-128K].zip;/pub/sinclair/games/s/SpyWhoLovedMeThe.tzx.zip;007 - The Spy Who Loved Me (1990)(Domark);Spy Who Loved Me, The (1990)(Domark);0000008;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000008
tosec\Games\[TZX]\007 - The Spy Who Loved Me (1990)(Domark)(Side B)[48-128K].zip;/pub/sinclair/games/s/SpyWhoLovedMeThe.tzx.zip;007 - The Spy Who Loved Me (1990)(Domark);Spy Who Loved Me, The (1990)(Domark);0000008;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000008
tosec\Games\[DSK]\007 - The Spy Who Loved Me (1990)(Domark).zip;/pub/sinclair/games/s/SpyWhoLovedMeThe.dsk.zip;007 - The Spy Who Loved Me (1990)(Domark);Spy Who Loved Me, The (1990)(Domark);0000008;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0000008
tosec\Games\[TZX]\Espia Que Me Amo, La (1990)(Erbe Software)(Side A)[re-release][aka 007 - The Spy Who Loved Me].zip;/pub/sinclair/games/s/SpyWhoLovedMeThe(DoubleCase)(EspiaQueMeAmoLa)(ErbeSoftwareS.A.).tzx.zip;Espia Que Me Amo, La (1990)(Erbe Software);Spy Who Loved Me, The (1990)(Erbe Software);0000008;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0000008
tosec\Games\[TZX]\Espia Que Me Amo, La (1990)(Erbe Software)(Side B)[re-release][aka 007 - The Spy Who Loved Me].zip;/pub/sinclair/games/s/SpyWhoLovedMeThe(DoubleCase)(EspiaQueMeAmoLa)(ErbeSoftwareS.A.).tzx.zip;Espia Que Me Amo, La (1990)(Erbe Software);Spy Who Loved Me, The (1990)(Erbe Software);0000008;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0000008
